iter	Passed	Remaining
350	1611	2979
351	1627	2995
352	1629	2986
353	1631	2977
354	1633	2967
355	1637	2963
356	1640	2954
357	1642	2945
358	1644	2935
359	1646	2926
360	1647	2916
361	1649	2907
362	1652	2900
363	1655	2891
364	1657	2883
365	1659	2875
366	1661	2865
367	1663	2856
368	1666	2849
369	1668	2840
370	1669	2831
371	1671	2821
372	1672	2811
373	1674	2802
374	1675	2792
375	1677	2783
376	1678	2773
377	1679	2763
378	1681	2755
379	1683	2746
380	1685	2737
381	1686	2728
382	1687	2718
383	1688	2709
384	1690	2699
385	1691	2690
386	1693	2682
387	1697	2676
388	1700	2671
389	1702	2662
390	1703	2653
391	1704	2644
392	1706	2635
393	1707	2626
394	1709	2618
395	1715	2617
396	1719	2611
397	1721	2603
398	1726	2600
399	1728	2592
400	1730	2584
401	1734	2579
402	1736	2571
403	1740	2567
